Dhar	35	22.594	75.298
Baraut	36	29.102	77.263
Kalyani	28	22.976	88.434
Doddaballapura	19	13.295	77.538
Chirala	02	15.824	80.352
Akot	16	21.096	77.059
Fatehpur	24	27.995	74.956
Gharroli	07	28.617	77.332
Rajpura	23	30.479	76.593
Ballarpur	16	19.847	79.346
Kot Kapura	23	30.581	74.826
Bhandara	16	21.168	79.649
Molarband	07	28.503	77.314
Bagaha	34	24.529	85.060
Rayachoti	02	14.057	78.751
Kadayanallur	25	9.073	77.342
Valparai	25	10.327	76.951
Pollachi	25	10.658	77.008
Kavali	02	14.916	79.994
Roha	16	18.437	73.120
Mancherial	40	18.871	79.429
Avaniyapuram	25	9.882	78.113
Muradnagar	36	28.781	77.499
Ankleshwar	09	21.632	72.990
Kadiri	02	14.112	78.160
Shahdol	35	23.294	81.362
Shrirampur	16	19.622	74.657
Mahoba	36	25.291	79.875
Ramgarh	38	23.630	85.522
Contai	28	21.780	87.749
Sangrur	23	30.245	75.845
Nirmal	40	19.097	78.344
Deoband	36	29.695	77.680
Neyyattinkara	13	8.399	77.086
Tanda	36	26.550	82.658
Kolar	35	23.165	77.419
Jhumri Telaiya	38	24.435	85.530
Aruppukkottai	25	9.510	78.096
Faridkot	23	30.674	74.756
Madgaon	33	15.275	73.958
Velampalaiyam	25	11.138	77.311
Jamui	34	24.926	86.225
Anjar	09	23.113	70.027
Paralakhemundi	21	18.776	84.095
Jharia	38	23.741	86.415
Karaikal	22	10.917	79.833
Kamthi	16	21.216	79.197
Hansi	10	29.102	75.963
Mayiladuthurai	25	11.104	79.655
Anakapalle	02	17.691	83.004
Maduravoyal	25	13.068	80.163
Sarni	35	22.103	78.172
Dausa	24	26.890	76.336
Paradip Garh	21	20.316	86.609
Hingoli	16	19.715	77.142
Baruni	34	25.475	85.968
Jeypore	21	18.856	82.572
Bijnor	36	29.373	78.136
Dhoraji	09	21.734	70.450
Virappanchathiram	25	11.353	77.713
Balaghat	35	21.816	80.188
Udhampur	12	32.924	75.136
Najibabad	36	29.612	78.343
Idaiyarpalaiyam	25	11.039	76.924
Harihar	19	14.513	75.807
Chilla Soroda Bangar	07	28.596	77.302
Sirsilla	40	18.389	78.810
Karauli	24	26.498	77.028
Mansa	23	29.988	75.402
Jangipur	28	24.470	88.077
Gobindgarh	23	30.671	76.302
Saunda	38	23.665	85.327
Maraimalainagar	25	12.798	80.025
Ashoknagar	35	24.576	77.731
Phulwari Sharif	34	25.578	85.072
Mhow	35	22.559	75.765
Malout	23	30.211	74.482
Kadi	09	23.299	72.334
Vijalpor	09	20.922	72.909
Palakollu	02	16.517	81.730
Himatnagar	09	23.599	72.966
Dholka	09	22.727	72.441
Kotkapura	23	30.582	74.833
Bargarh	21	21.333	83.619
Kharghar	16	19.050	73.070
Kairana	36	29.395	77.205
Brajarajnagar	21	21.817	83.917
Kamareddi	40	18.320	78.342
Palwancha	40	17.582	80.677
Manmad	16	20.253	74.438
Srikalahasti	02	13.755	79.701
Kottagudem	40	17.551	80.618
Nawabganj	36	26.931	81.198
Gokak	19	16.169	74.824
Tikamgarh	35	24.743	78.831
Arakkonam	25	13.084	79.671
Araria	34	26.149	87.513
Koch Bihar	28	26.325	89.445
Kharakvasla	16	18.440	73.775
Bhadohi	36	25.395	82.570
Katoya	28	23.646	88.133
Medininagar	38	24.040	84.066
Washim	16	20.111	77.133
Bagbera	38	22.759	86.190
Savarkundla	09	21.337	71.303
Basoda	35	23.852	77.937
Tanuku	02	16.754	81.681
Gurdaspur	23	32.039	75.403
Edattala	13	10.056	76.385
Bodhan	40	18.662	77.886
Balrampur	36	27.429	82.185
Baramula	12	34.209	74.343
Karwar	19	14.814	74.130
Dhulian	28	24.681	87.954
Rabkavi-Banhatti	19	16.470	75.120
Mawana	36	29.103	77.922
Shirpur	16	21.348	74.880
Budge Budge	28	22.483	88.182
Kundla	09	21.342	71.306
Visnagar	09	23.699	72.552
Kannauj	36	27.055	79.919
Khajoori Khas	07	28.710	77.259
Neelankarai	25	12.950	80.259
Nagina	36	29.444	78.436
Badagara	13	11.598	75.581
Fazilka	23	30.402	74.028
Electronic City Phase I	19	12.855	77.663
Ratnagiri	16	16.992	73.310
Keshod	09	21.303	70.249
Konnagar	28	22.705	88.344
Chintamani	19	13.401	78.052
Pammal	25	12.975	80.135
Sindhnur	19	15.770	76.756
Madhubani	34	26.354	86.072
Bodinayakkanur	25	10.012	77.350
Khadki	16	18.564	73.852
Dhrangadhra	09	22.992	71.468
Tezpur	03	26.633	92.800
Srivilliputhur	25	9.513	77.634
Benipur	34	26.055	86.146
Paloncha	40	17.602	80.705
Jaora	35	23.638	75.127
Tura	18	25.514	90.202
Gudur	02	14.151	79.852
Narnaul	10	28.044	76.108
Balotra	24	25.832	72.240
